demo_name,success_rate,avg_steps_success,avg_steps_all,total_violations_eval,violation_rate_eval,violation_rate_demo,improvement_ratio,timestamp
5G_Demonstration,0.0,0,1000.0,0,0.0,0.017162471395881007,100.0,2025-12-07 21:02:55.662905
10B_Demonstration,0.0,0,1000.0,14899,0.14899,0.02906350914962325,-412.635962962963,2025-12-07 21:12:09.399293
10G_Demonstration,0.0,0,1000.0,0,0.0,0.0,0,2025-12-07 21:18:39.182090
